IDX,dataset,corruption,severity,fileindex,filename,label,filepath,binarylabel,model_prompt,model_raw_output,model_pred,pred_binary
301,MRI,BiasField,strong,Tr-gl_0013,Tr-gl_0013_BiasField_strong.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/strong/brain tumor/Tr-gl_0013_BiasField_strong.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
First, evaluate image quality and artefacts before deciding the label.
Use ""distorted"" ONLY if artefacts make diagnosis unreliable.
If label is ""distorted"", the reason MUST briefly state which artefacts or quality issues prevent reliable diagnosis.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""No significant artefacts or abnormalities observed.""
}
```",normal,0
302,MRI,BiasField,strong,Tr-gl_0018,Tr-gl_0018_BiasField_strong.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/strong/brain tumor/Tr-gl_0018_BiasField_strong.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
First, evaluate image quality and artefacts before deciding the label.
Use ""distorted"" ONLY if artefacts make diagnosis unreliable.
If label is ""distorted"", the reason MUST briefly state which artefacts or quality issues prevent reliable diagnosis.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""No significant artefacts or abnormalities observed.""
}
```",normal,0
401,MRI,BiasField,strong,Tr-no_0010,Tr-no_0010_BiasField_strong.png,normal,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/strong/normal/Tr-no_0010_BiasField_strong.png,0,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
First, evaluate image quality and artefacts before deciding the label.
Use ""distorted"" ONLY if artefacts make diagnosis unreliable.
If label is ""distorted"", the reason MUST briefly state which artefacts or quality issues prevent reliable diagnosis.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""No significant artefacts or abnormalities observed.""
}
```",normal,0
402,MRI,BiasField,strong,Tr-no_0013,Tr-no_0013_BiasField_strong.png,normal,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/strong/normal/Tr-no_0013_BiasField_strong.png,0,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
First, evaluate image quality and artefacts before deciding the label.
Use ""distorted"" ONLY if artefacts make diagnosis unreliable.
If label is ""distorted"", the reason MUST briefly state which artefacts or quality issues prevent reliable diagnosis.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""No significant artefacts or abnormalities observed.""
}
```",normal,0
601,MRI,BiasField,weak,Tr-no_0010,Tr-no_0010_BiasField_weak.png,normal,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/weak/normal/Tr-no_0010_BiasField_weak.png,0,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be either ""normal"" or ""disease"".
The value of ""reason"" MUST be ONE short sentence (max 20 words).
that mentions image quality or artefacts and the main finding.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","{
    ""label"": ""normal"",
    ""reason"": ""Image quality is good with no significant artefacts; brain structures appear symmetrical and normal.""
}",normal,0
602,MRI,BiasField,weak,Tr-no_0013,Tr-no_0013_BiasField_weak.png,normal,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/weak/normal/Tr-no_0013_BiasField_weak.png,0,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be either ""normal"" or ""disease"".
The value of ""reason"" MUST be ONE short sentence (max 20 words).
that mentions image quality or artefacts and the main finding.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","{
    ""label"": ""normal"",
    ""reason"": ""Image quality is good with no significant artefacts; brain structures appear symmetrical and normal.""
}",normal,0
501,MRI,BiasField,weak,Tr-gl_0013,Tr-gl_0013_BiasField_weak.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/weak/brain tumor/Tr-gl_0013_BiasField_weak.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be either ""normal"" or ""disease"".
The value of ""reason"" MUST be ONE short sentence (max 20 words).
that mentions image quality or artefacts and the main finding.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","{
    ""label"": ""normal"",
    ""reason"": ""Image quality is good with no significant artefacts; brain structures appear normal and symmetrical.""
}",normal,0
502,MRI,BiasField,weak,Tr-gl_0018,Tr-gl_0018_BiasField_weak.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/weak/brain tumor/Tr-gl_0018_BiasField_weak.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be either ""normal"" or ""disease"".
The value of ""reason"" MUST be ONE short sentence (max 20 words).
that mentions image quality or artefacts and the main finding.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","{
    ""label"": ""normal"",
    ""reason"": ""Image quality is good with no significant artefacts; brain structures appear symmetrical and normal.""
}",normal,0
703,MRI,Crop,strong,Tr-gl_0021,Tr-gl_0021_Crop_strong.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/Crop/strong/brain tumor/Tr-gl_0021_Crop_strong.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
First, evaluate image quality and artefacts before deciding the label.
Use ""distorted"" ONLY if artefacts make diagnosis unreliable.
If label is ""distorted"", the reason MUST briefly state which artefacts or quality issues prevent reliable diagnosis.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""No significant artefacts or abnormalities observed.""
}
```",normal,0
704,MRI,Crop,strong,Tr-gl_0023,Tr-gl_0023_Crop_strong.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/Crop/strong/brain tumor/Tr-gl_0023_Crop_strong.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
First, evaluate image quality and artefacts before deciding the label.
Use ""distorted"" ONLY if artefacts make diagnosis unreliable.
If label is ""distorted"", the reason MUST briefly state which artefacts or quality issues prevent reliable diagnosis.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
First, evaluate overall image quality and imaging artefacts.
Describe whether you see motion blur, streaks, blocking, random speckle, or other artefacts, and whether they limit diagnostic confidence.

Then, focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Considering both image quality and true anatomical findings, is this image normal, diseased, or too distorted for reliable diagnosis?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""No significant artefacts or abnormalities observed.""
}
```",normal,0
