IDX,dataset,corruption,severity,fileindex,filename,label,filepath,binarylabel,model_prompt,model_raw_output,model_pred,model_reason,pred_binary
301,MRI,BiasField,strong,Tr-gl_0013,Tr-gl_0013_BiasField_strong.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/strong/brain tumor/Tr-gl_0013_BiasField_strong.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
Use ""distorted"" ONLY if image quality is too poor for reliable diagnosis.
If label is ""distorted"", the reason should briefly state why diagnosis is unreliable.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""disease"",
  ""reason"": ""Presence of abnormal mass in the left hemisphere.""
}
```",disease,Presence of abnormal mass in the left hemisphere.,1
302,MRI,BiasField,strong,Tr-gl_0018,Tr-gl_0018_BiasField_strong.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/strong/brain tumor/Tr-gl_0018_BiasField_strong.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
Use ""distorted"" ONLY if image quality is too poor for reliable diagnosis.
If label is ""distorted"", the reason should briefly state why diagnosis is unreliable.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""Brain structures appear symmetrical with no visible abnormalities.""
}
```",normal,Brain structures appear symmetrical with no visible abnormalities.,0
401,MRI,BiasField,strong,Tr-no_0010,Tr-no_0010_BiasField_strong.png,normal,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/strong/normal/Tr-no_0010_BiasField_strong.png,0,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
Use ""distorted"" ONLY if image quality is too poor for reliable diagnosis.
If label is ""distorted"", the reason should briefly state why diagnosis is unreliable.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""Symmetrical brain structures with no visible abnormalities.""
}
```",normal,Symmetrical brain structures with no visible abnormalities.,0
402,MRI,BiasField,strong,Tr-no_0013,Tr-no_0013_BiasField_strong.png,normal,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/strong/normal/Tr-no_0013_BiasField_strong.png,0,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
Use ""distorted"" ONLY if image quality is too poor for reliable diagnosis.
If label is ""distorted"", the reason should briefly state why diagnosis is unreliable.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""Brain tissue appears symmetrical with no focal signal changes or abnormalities.""
}
```",normal,Brain tissue appears symmetrical with no focal signal changes or abnormalities.,0
601,MRI,BiasField,weak,Tr-no_0010,Tr-no_0010_BiasField_weak.png,normal,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/weak/normal/Tr-no_0010_BiasField_weak.png,0,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be either ""normal"" or ""disease"".
The value of ""reason"" MUST be ONE short sentence (max 20 words).
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""Symmetrical brain structure with no abnormal signal changes.""
}
```",normal,Symmetrical brain structure with no abnormal signal changes.,0
602,MRI,BiasField,weak,Tr-no_0013,Tr-no_0013_BiasField_weak.png,normal,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/weak/normal/Tr-no_0013_BiasField_weak.png,0,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be either ""normal"" or ""disease"".
The value of ""reason"" MUST be ONE short sentence (max 20 words).
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""Brain tissue appears symmetrical with no abnormal signal changes.""
}
```",normal,Brain tissue appears symmetrical with no abnormal signal changes.,0
501,MRI,BiasField,weak,Tr-gl_0013,Tr-gl_0013_BiasField_weak.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/weak/brain tumor/Tr-gl_0013_BiasField_weak.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be either ""normal"" or ""disease"".
The value of ""reason"" MUST be ONE short sentence (max 20 words).
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""disease"",
  ""reason"": ""Abnormal signal intensity and asymmetry in the brain tissue.""
}
```",disease,Abnormal signal intensity and asymmetry in the brain tissue.,1
502,MRI,BiasField,weak,Tr-gl_0018,Tr-gl_0018_BiasField_weak.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/BiasField/weak/brain tumor/Tr-gl_0018_BiasField_weak.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be either ""normal"" or ""disease"".
The value of ""reason"" MUST be ONE short sentence (max 20 words).
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""Brain structure appears symmetrical with no abnormal signal changes.""
}
```",normal,Brain structure appears symmetrical with no abnormal signal changes.,0
703,MRI,Crop,strong,Tr-gl_0021,Tr-gl_0021_Crop_strong.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/Crop/strong/brain tumor/Tr-gl_0021_Crop_strong.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
Use ""distorted"" ONLY if image quality is too poor for reliable diagnosis.
If label is ""distorted"", the reason should briefly state why diagnosis is unreliable.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""Brain tissue appears symmetrical with no visible abnormalities.""
}
```",normal,Brain tissue appears symmetrical with no visible abnormalities.,0
704,MRI,Crop,strong,Tr-gl_0023,Tr-gl_0023_Crop_strong.png,brain tumor,/home/rmaphyo/Scratch/vlm_prompt_dataset/pg_last/Benchmarks/MRI/Crop/strong/brain tumor/Tr-gl_0023_Crop_strong.png,1,"<|im_start|>system
You are a medical image classifier.
Respond using ONLY valid JSON.
Output exactly one JSON object with TWO keys: ""label"" and ""reason"".
The value of ""label"" MUST be one of: ""normal"", ""disease"", or ""distorted"".
Use ""distorted"" ONLY if image quality is too poor for reliable diagnosis.
If label is ""distorted"", the reason should briefly state why diagnosis is unreliable.
Keep the reason strictly under 20 words.
Do NOT include any text or formatting outside the JSON.<|im_end|>
<|im_start|>user
<IMG_CONTEXT>
This is a brain MRI scan.
Focus on brain tissue structure, symmetry, and signal characteristics.
Determine whether there are true abnormalities such as tumors, edema, mass effect, or focal signal changes.

Question: Does this image show normal anatomy or signs of disease?

<|im_end|>
<|im_start|>assistant
","```json
{
  ""label"": ""normal"",
  ""reason"": ""Symmetrical brain structures with no abnormal signal intensities.""
}
```",normal,Symmetrical brain structures with no abnormal signal intensities.,0
