IDX,dataset,corruption,severity,fileindex,filename,label,filepath,binarylabel
4231,OCT,clean,clean,CNV-81630-3,CNV-81630-3.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\CNV-81630-3.jpeg,1
4232,OCT,clean,clean,CNV-81630-4,CNV-81630-4.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\CNV-81630-4.jpeg,1
4233,OCT,clean,clean,CNV-81630-5,CNV-81630-5.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\CNV-81630-5.jpeg,1
4234,OCT,clean,clean,CNV-81630-8,CNV-81630-8.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\CNV-81630-8.jpeg,1
4235,OCT,clean,clean,CNV-81630-9,CNV-81630-9.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\CNV-81630-9.jpeg,1
4296,OCT,clean,clean,DRUSEN-95633-21,DRUSEN-95633-21.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\DRUSEN-95633-21.jpeg,1
4297,OCT,clean,clean,DRUSEN-95633-24,DRUSEN-95633-24.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\DRUSEN-95633-24.jpeg,1
4298,OCT,clean,clean,DRUSEN-95633-25,DRUSEN-95633-25.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\DRUSEN-95633-25.jpeg,1
4299,OCT,clean,clean,DRUSEN-95633-6,DRUSEN-95633-6.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\DRUSEN-95633-6.jpeg,1
4300,OCT,clean,clean,DRUSEN-95633-9,DRUSEN-95633-9.jpeg,retinal diseases,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_last\Benchmarks\OCT\original images\retinal diseases\DRUSEN-95633-9.jpeg,1
6581,MRI,clean,clean,Tr-gl_0097,Tr-gl_0097.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0097.jpg,1
6582,MRI,clean,clean,Tr-gl_0098,Tr-gl_0098.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0098.jpg,1
6583,MRI,clean,clean,Tr-gl_0099,Tr-gl_0099.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0099.jpg,1
6584,MRI,clean,clean,Tr-gl_0100,Tr-gl_0100.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0100.jpg,1
6585,MRI,clean,clean,Tr-gl_0101,Tr-gl_0101.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0101.jpg,1
6586,MRI,clean,clean,Tr-gl_0102,Tr-gl_0102.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0102.jpg,1
6587,MRI,clean,clean,Tr-gl_0103,Tr-gl_0103.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0103.jpg,1
6588,MRI,clean,clean,Tr-gl_0104,Tr-gl_0104.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0104.jpg,1
6589,MRI,clean,clean,Tr-gl_0105,Tr-gl_0105.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0105.jpg,1
6590,MRI,clean,clean,Tr-gl_0106,Tr-gl_0106.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0106.jpg,1
6591,MRI,clean,clean,Tr-gl_0107,Tr-gl_0107.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0107.jpg,1
6592,MRI,clean,clean,Tr-gl_0108,Tr-gl_0108.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0108.jpg,1
